date,country,H,I,S,D,M
2021-06-10,Sweden,0,0,0,1,9
2021-06-11,Sweden,0,0,0,1,9
2021-06-12,Sweden,0,0,0,1,9
2021-06-13,Sweden,0,0,0,1,9
2021-06-14,Sweden,0,0,0,1,9
2021-06-15,Sweden,0,0,0,1,9
2021-06-16,Sweden,0,0,0,1,9
2021-06-17,Sweden,0,0,0,1,9
2021-06-18,Sweden,0,0,0,1,9
2021-06-19,Sweden,0,0,0,1,9
2021-06-20,Sweden,0,0,0,1,9
2021-06-21,Sweden,0,0,0,1,9
2021-06-22,Sweden,0,0,0,1,9
2021-06-23,Sweden,0,0,0,1,9
2021-06-24,Sweden,0,0,0,1,9
2021-06-25,Sweden,0,0,0,1,9
2021-06-26,Sweden,0,0,0,1,9
2021-06-27,Sweden,0,0,0,1,9
2021-06-28,Sweden,0,0,0,1,9
2021-06-29,Sweden,0,0,0,1,9
2021-06-30,Sweden,0,0,0,1,9
2021-07-01,Sweden,0,0,0,1,9
2021-07-02,Sweden,0,0,0,1,9
2021-07-03,Sweden,0,0,0,1,9
2021-07-04,Sweden,0,0,0,1,9
2021-07-05,Sweden,0,0,0,1,9
2021-07-06,Sweden,0,0,0,1,9
2021-07-07,Sweden,0,0,0,1,9
2021-07-08,Sweden,0,0,0,1,9
2021-07-09,Sweden,0,0,0,1,9
2021-07-10,Sweden,0,0,0,1,9
2021-07-11,Sweden,0,0,0,1,9
2021-07-12,Sweden,0,0,0,1,9
2021-07-13,Sweden,0,0,0,1,9
2021-07-14,Sweden,0,0,0,1,9
2021-07-15,Sweden,0,0,0,1,9
2021-07-16,Sweden,0,0,0,1,9
2021-07-17,Sweden,0,0,0,1,9
2021-07-18,Sweden,0,0,0,1,9
2021-07-19,Sweden,0,0,0,1,9
2021-07-20,Sweden,0,0,0,1,9
2021-07-21,Sweden,0,0,0,1,9
2021-07-22,Sweden,0,0,0,1,9
2021-07-23,Sweden,0,0,0,1,9
2021-07-24,Sweden,0,0,0,1,9
2021-07-25,Sweden,0,0,0,1,9
2021-07-26,Sweden,0,0,0,1,9
2021-07-27,Sweden,0,0,0,1,9
2021-07-28,Sweden,0,0,0,1,9
2021-07-29,Sweden,0,0,0,1,9
2021-07-30,Sweden,0,0,0,1,9
2021-07-31,Sweden,0,0,0,1,9
2021-08-01,Sweden,0,0,0,1,9
2021-08-02,Sweden,0,0,0,1,9
2021-08-03,Sweden,1,0,0,1,8
2021-08-04,Sweden,2,0,0,1,7
2021-08-05,Sweden,3,0,0,1,6
2021-08-06,Sweden,3,1,0,1,5
2021-08-07,Sweden,2,2,0,1,5
2021-08-08,Sweden,0,4,0,1,5
2021-08-09,Sweden,2,4,0,1,3
2021-08-10,Sweden,2,3,0,1,4
2021-08-11,Sweden,2,2,0,1,5
2021-08-12,Sweden,2,0,1,1,6
2021-08-13,Sweden,2,0,1,1,6
2021-08-14,Sweden,2,0,1,1,6
2021-08-15,Sweden,1,1,1,1,6
2021-08-16,Sweden,1,1,1,1,6
2021-08-17,Sweden,0,2,1,1,6
2021-08-18,Sweden,1,2,1,1,5
2021-08-19,Sweden,1,1,2,1,5
2021-08-20,Sweden,1,2,2,1,4
2021-08-21,Sweden,1,1,3,1,4
2021-08-22,Sweden,1,1,3,1,4
2021-08-23,Sweden,1,1,3,1,4
2021-08-24,Sweden,0,1,4,1,4
2021-08-25,Sweden,0,1,4,1,4
2021-08-26,Sweden,0,1,3,1,5
2021-08-27,Sweden,0,1,3,1,5
2021-08-28,Sweden,0,0,4,1,5
2021-08-29,Sweden,0,0,4,1,5
2021-08-30,Sweden,0,0,4,1,5
2021-08-31,Sweden,0,0,4,1,5
2021-09-01,Sweden,0,0,4,1,5
2021-09-02,Sweden,0,0,3,1,6
2021-09-03,Sweden,0,0,3,1,6
2021-09-04,Sweden,0,0,2,1,7
2021-09-05,Sweden,0,0,2,1,7
2021-09-06,Sweden,0,0,2,1,7
2021-09-07,Sweden,0,0,1,2,7
2021-09-08,Sweden,0,0,1,2,7
2021-09-09,Sweden,0,0,1,2,7
2021-09-10,Sweden,0,0,1,2,7
2021-09-11,Sweden,0,0,0,2,8
2021-09-12,Sweden,0,0,0,2,8
2021-09-13,Sweden,0,0,0,2,8
2021-09-14,Sweden,0,0,0,2,8
2021-09-15,Sweden,0,0,0,2,8
2021-09-16,Sweden,0,0,0,2,8
2021-09-17,Sweden,0,0,0,2,8
2021-09-18,Sweden,0,0,0,2,8
2021-09-19,Sweden,0,0,0,2,8
2021-09-20,Sweden,0,0,0,2,8
2021-09-21,Sweden,0,0,0,2,8
2021-09-22,Sweden,0,0,0,2,8
2021-09-23,Sweden,0,0,0,2,8
2021-09-24,Sweden,0,0,0,2,8
2021-09-25,Sweden,0,0,0,2,8
2021-09-26,Sweden,0,0,0,2,8
2021-09-27,Sweden,0,0,0,2,8
2021-09-28,Sweden,1,0,0,2,7
2021-09-29,Sweden,1,0,0,2,7
2021-09-30,Sweden,1,0,0,2,7
2021-10-01,Sweden,1,0,0,2,7
2021-10-02,Sweden,1,0,0,2,7
2021-10-03,Sweden,1,0,0,2,7
2021-10-04,Sweden,1,0,0,2,7
2021-10-05,Sweden,1,0,0,2,7
2021-10-06,Sweden,1,0,0,2,7
2021-10-07,Sweden,1,0,0,2,7
2021-10-08,Sweden,0,1,0,2,7
2021-10-09,Sweden,0,1,0,2,7
2021-10-10,Sweden,0,1,0,2,7
2021-10-11,Sweden,0,1,0,2,7
2021-10-12,Sweden,0,0,1,2,7
2021-10-13,Sweden,0,0,1,2,7
2021-10-14,Sweden,0,0,1,2,7
2021-10-15,Sweden,0,0,1,2,7
2021-10-16,Sweden,0,0,1,2,7
2021-10-17,Sweden,0,0,1,2,7
2021-10-18,Sweden,0,0,1,2,7
2021-10-19,Sweden,0,0,1,2,7
2021-10-20,Sweden,0,0,1,2,7
2021-10-21,Sweden,0,0,1,2,7
2021-10-22,Sweden,0,0,1,2,7
2021-10-23,Sweden,0,0,1,2,7
2021-10-24,Sweden,0,0,1,2,7
2021-10-25,Sweden,0,0,1,2,7
2021-10-26,Sweden,0,0,0,2,8
2021-10-27,Sweden,0,0,0,2,8
2021-10-28,Sweden,0,0,0,2,8
2021-10-29,Sweden,0,0,0,2,8
2021-10-30,Sweden,0,0,0,2,8
2021-10-31,Sweden,0,0,0,2,8
2021-11-01,Sweden,0,0,0,2,8
2021-11-02,Sweden,0,0,0,2,8
2021-11-03,Sweden,0,0,0,2,8
2021-11-04,Sweden,0,0,0,2,8
2021-11-05,Sweden,0,0,0,2,8
2021-11-06,Sweden,0,0,0,2,8
2021-11-07,Sweden,0,0,0,2,8
2021-11-08,Sweden,0,0,0,2,8
2021-11-09,Sweden,0,0,0,2,8
2021-11-10,Sweden,0,0,0,2,8
2021-11-11,Sweden,0,0,0,2,8
2021-11-12,Sweden,0,0,0,2,8
2021-11-13,Sweden,0,0,0,2,8
2021-11-14,Sweden,0,0,0,2,8
2021-11-15,Sweden,0,0,0,2,8
2021-11-16,Sweden,0,0,0,2,8
2021-11-17,Sweden,0,0,0,2,8
2021-11-18,Sweden,0,0,0,2,8
2021-11-19,Sweden,0,0,0,2,8
2021-11-20,Sweden,0,0,0,2,8
2021-11-21,Sweden,0,0,0,2,8
2021-11-22,Sweden,0,0,0,2,8
2021-11-23,Sweden,0,0,0,2,8
2021-11-24,Sweden,0,0,0,2,8
2021-11-25,Sweden,0,0,0,2,8
2021-11-26,Sweden,0,0,0,2,8
2021-11-27,Sweden,0,0,0,2,8
2021-11-28,Sweden,0,0,0,2,8
2021-11-29,Sweden,0,0,0,2,8
2021-11-30,Sweden,0,0,0,2,8
2021-12-01,Sweden,0,0,0,2,8
2021-12-02,Sweden,0,0,0,2,8
2021-12-03,Sweden,0,0,0,2,8
2021-12-04,Sweden,0,0,0,2,8
2021-12-05,Sweden,0,0,0,2,8
2021-12-06,Sweden,0,0,0,2,8
2021-12-07,Sweden,0,0,0,2,8
2021-12-08,Sweden,1,0,0,2,7
2021-12-09,Sweden,2,0,0,2,6
2021-12-10,Sweden,3,0,0,2,5
2021-12-11,Sweden,2,1,0,2,5
2021-12-12,Sweden,1,2,0,2,5
2021-12-13,Sweden,1,2,0,2,5
2021-12-14,Sweden,1,2,0,2,5
2021-12-15,Sweden,0,2,1,2,5
2021-12-16,Sweden,0,1,1,2,6
2021-12-17,Sweden,0,1,1,2,6
2021-12-18,Sweden,0,1,1,2,6
2021-12-19,Sweden,0,0,1,2,7
2021-12-20,Sweden,0,0,1,2,7
2021-12-21,Sweden,0,0,1,2,7
2021-12-22,Sweden,0,0,1,2,7
2021-12-23,Sweden,0,0,1,2,7
2021-12-24,Sweden,1,0,1,2,6
2021-12-25,Sweden,0,1,1,2,6
2021-12-26,Sweden,0,1,1,2,6
2021-12-27,Sweden,0,1,1,2,6
2021-12-28,Sweden,0,1,1,2,6
2021-12-29,Sweden,0,0,0,2,8
2021-12-30,Sweden,0,0,0,2,8
2021-12-31,Sweden,1,0,0,2,7
2022-01-01,Sweden,1,0,0,2,7
2022-01-02,Sweden,2,0,0,2,6
2022-01-03,Sweden,1,1,0,2,6
2022-01-04,Sweden,1,1,0,2,6
2022-01-05,Sweden,1,1,0,2,6
2022-01-06,Sweden,1,1,0,2,6
2022-01-07,Sweden,1,0,1,2,6
2022-01-08,Sweden,1,0,1,2,6
2022-01-09,Sweden,2,0,1,2,5
2022-01-10,Sweden,2,0,1,2,5
2022-01-11,Sweden,2,0,1,2,5
2022-01-12,Sweden,2,0,1,2,5
2022-01-13,Sweden,2,0,1,2,5
2022-01-14,Sweden,2,0,1,2,5
2022-01-15,Sweden,2,0,1,2,5
2022-01-16,Sweden,2,0,1,2,5
2022-01-17,Sweden,2,0,1,2,5
2022-01-18,Sweden,2,0,1,2,5
2022-01-19,Sweden,2,0,1,2,5
2022-01-20,Sweden,0,2,1,2,5
2022-01-21,Sweden,0,2,0,2,6
2022-01-22,Sweden,0,2,0,2,6
2022-01-23,Sweden,0,2,0,2,6
2022-01-24,Sweden,0,0,1,2,7
2022-01-25,Sweden,0,0,1,2,7
2022-01-26,Sweden,0,0,1,2,7
2022-01-27,Sweden,0,0,1,2,7
2022-01-28,Sweden,0,0,1,2,7
2022-01-29,Sweden,0,0,1,2,7
2022-01-30,Sweden,0,0,1,2,7
2022-01-31,Sweden,0,0,1,2,7
2022-02-01,Sweden,0,0,1,2,7
2022-02-02,Sweden,0,0,1,2,7
2022-02-03,Sweden,0,0,1,2,7
2022-02-04,Sweden,0,0,1,2,7
2022-02-05,Sweden,0,0,1,2,7
2022-02-06,Sweden,0,0,1,2,7
2022-02-07,Sweden,0,0,0,2,8
2022-02-08,Sweden,0,0,0,2,8
2022-02-09,Sweden,0,0,0,2,8
2022-02-10,Sweden,0,0,0,2,8
2022-02-11,Sweden,0,0,0,2,8
2022-02-12,Sweden,0,0,0,2,8
2022-02-13,Sweden,0,0,0,2,8
2022-02-14,Sweden,0,0,0,2,8
2022-02-15,Sweden,0,0,0,2,8
2022-02-16,Sweden,0,0,0,2,8
2022-02-17,Sweden,0,0,0,2,8
2022-02-18,Sweden,0,0,0,2,8
2022-02-19,Sweden,0,0,0,2,8
2022-02-20,Sweden,0,0,0,2,8
2022-02-21,Sweden,0,0,0,2,8
2022-02-22,Sweden,0,0,0,2,8
2022-02-23,Sweden,1,0,0,2,7
2022-02-24,Sweden,1,0,0,2,7
2022-02-25,Sweden,1,0,0,2,7
2022-02-26,Sweden,1,0,0,2,7
2022-02-27,Sweden,1,0,0,2,7
2022-02-28,Sweden,1,0,0,2,7
2022-03-01,Sweden,1,0,0,2,7
2022-03-02,Sweden,1,0,0,2,7
2022-03-03,Sweden,1,0,0,2,7
2022-03-04,Sweden,1,0,0,2,7
2022-03-05,Sweden,0,1,0,2,7
2022-03-06,Sweden,0,1,0,2,7
2022-03-07,Sweden,0,1,0,2,7
2022-03-08,Sweden,0,1,0,2,7
2022-03-09,Sweden,0,0,1,2,7
2022-03-10,Sweden,0,0,1,2,7
2022-03-11,Sweden,0,0,1,2,7
2022-03-12,Sweden,0,0,1,2,7
2022-03-13,Sweden,0,0,1,2,7
2022-03-14,Sweden,0,0,1,2,7
2022-03-15,Sweden,0,0,1,2,7
2022-03-16,Sweden,0,0,1,2,7
2022-03-17,Sweden,0,0,1,2,7
2022-03-18,Sweden,0,0,1,2,7
2022-03-19,Sweden,0,0,1,2,7
2022-03-20,Sweden,0,0,1,2,7
2022-03-21,Sweden,0,0,1,2,7
2022-03-22,Sweden,0,0,1,2,7
2022-03-23,Sweden,0,0,0,2,8
2022-03-24,Sweden,0,0,0,2,8
2022-03-25,Sweden,0,0,0,2,8
2022-03-26,Sweden,0,0,0,2,8
2022-03-27,Sweden,0,0,0,2,8
2022-03-28,Sweden,0,0,0,2,8
2022-03-29,Sweden,0,0,0,2,8
2022-03-30,Sweden,0,0,0,2,8
2022-03-31,Sweden,0,0,0,2,8
2022-04-01,Sweden,0,0,0,2,8
2022-04-02,Sweden,0,0,0,2,8
2022-04-03,Sweden,0,0,0,2,8
2022-04-04,Sweden,0,0,0,2,8
2022-04-05,Sweden,0,0,0,2,8
2022-04-06,Sweden,0,0,0,2,8
2022-04-07,Sweden,0,0,0,2,8
2022-04-08,Sweden,0,0,0,2,8
2022-04-09,Sweden,0,0,0,2,8
2022-04-10,Sweden,0,0,0,2,8
2022-04-11,Sweden,0,0,0,2,8
2022-04-12,Sweden,0,0,0,2,8
2022-04-13,Sweden,0,0,0,2,8
2022-04-14,Sweden,0,0,0,2,8
2022-04-15,Sweden,1,0,0,2,7
2022-04-16,Sweden,1,0,0,2,7
2022-04-17,Sweden,0,1,0,2,7
2022-04-18,Sweden,1,1,0,2,6
2022-04-19,Sweden,1,1,0,2,6
2022-04-20,Sweden,1,1,0,2,6
2022-04-21,Sweden,1,0,1,2,6
2022-04-22,Sweden,1,0,1,2,6
2022-04-23,Sweden,1,0,1,2,6
2022-04-24,Sweden,0,1,1,2,6
2022-04-25,Sweden,0,1,1,2,6
2022-04-26,Sweden,0,1,1,2,6
2022-04-27,Sweden,0,1,1,2,6
2022-04-28,Sweden,2,0,2,2,4
2022-04-29,Sweden,1,1,2,2,4
2021-04-01,Japan,96,29,0,0,0
2021-04-02,Japan,67,58,0,0,0
2021-04-03,Japan,49,76,0,0,0
2021-04-04,Japan,42,83,0,0,0
2021-04-05,Japan,35,61,14,0,15
2021-04-06,Japan,28,39,25,0,33
2021-04-07,Japan,20,29,36,0,40
2021-04-08,Japan,16,26,40,0,43
2021-04-09,Japan,11,24,44,0,46
2021-04-10,Japan,10,18,48,0,49
2021-04-11,Japan,8,12,54,0,51
2021-04-12,Japan,8,8,55,0,54
2021-04-13,Japan,8,3,58,0,56
2021-04-14,Japan,8,2,58,0,57
2021-04-15,Japan,7,1,59,0,58
2021-04-16,Japan,5,3,59,0,58
2021-04-17,Japan,4,4,59,0,58
2021-04-18,Japan,4,4,59,0,58
2021-04-19,Japan,4,3,45,5,68
2021-04-20,Japan,3,2,36,7,77
2021-04-21,Japan,2,2,25,11,85
2021-04-22,Japan,2,2,21,12,88
2021-04-23,Japan,1,3,17,13,91
2021-04-24,Japan,1,2,13,14,95
2021-04-25,Japan,1,1,8,16,99
2021-04-26,Japan,1,1,7,16,100
2021-04-27,Japan,1,0,5,16,103
2021-04-28,Japan,1,0,5,16,103
2021-04-29,Japan,1,0,4,17,103
2021-04-30,Japan,1,0,4,17,103
2021-05-01,Japan,1,0,4,17,103
2021-05-02,Japan,1,0,4,17,103
2021-05-03,Japan,0,1,4,17,103
2021-05-04,Japan,0,1,2,17,105
2021-05-05,Japan,0,1,2,17,105
2021-05-06,Japan,0,1,2,17,105
2021-05-07,Japan,0,0,3,17,105
2021-05-08,Japan,0,0,3,17,105
2021-05-09,Japan,0,0,2,17,106
2021-05-10,Japan,0,0,2,17,106
2021-05-11,Japan,0,0,1,17,107
2021-05-12,Japan,0,0,1,17,107
2021-05-13,Japan,0,0,1,17,107
2021-05-14,Japan,0,0,1,17,107
2021-05-15,Japan,0,0,1,17,107
2021-05-16,Japan,0,0,1,17,107
2021-05-17,Japan,0,0,1,17,107
2021-05-18,Japan,0,0,1,17,107
2021-05-19,Japan,0,0,1,17,107
2021-05-20,Japan,0,0,1,17,107
2021-05-21,Japan,0,0,0,17,108
2021-05-22,Japan,0,0,0,17,108
2021-05-23,Japan,0,0,0,17,108
2021-05-24,Japan,0,0,0,17,108
2021-05-25,Japan,0,0,0,17,108
2021-05-26,Japan,0,0,0,17,108
2021-05-27,Japan,0,0,0,17,108
2021-05-28,Japan,0,0,0,17,108
2021-05-29,Japan,0,0,0,17,108
2021-05-30,Japan,0,0,0,17,108
2021-05-31,Japan,0,0,0,17,108
2021-06-01,Japan,0,0,0,17,108
2021-06-02,Japan,0,0,0,17,108
2021-06-03,Japan,0,0,0,17,108
2021-06-04,Japan,0,0,0,17,108
2021-06-05,Japan,0,0,0,17,108
2021-06-06,Japan,0,0,0,17,108
2021-06-07,Japan,0,0,0,17,108
2021-06-08,Japan,0,0,0,17,108
2021-06-09,Japan,0,0,0,17,108
2021-06-10,Japan,0,0,0,17,108
2021-06-11,Japan,0,0,0,17,108
2021-06-12,Japan,0,0,0,17,108
2021-06-13,Japan,0,0,0,17,108
2021-06-14,Japan,0,0,0,17,108
2021-06-15,Japan,0,0,0,17,108
2021-06-16,Japan,0,0,0,17,108
2021-06-17,Japan,0,0,0,17,108
2021-06-18,Japan,0,0,0,17,108
2021-06-19,Japan,0,0,0,17,108
2021-06-20,Japan,0,0,0,17,108
2021-06-21,Japan,0,0,0,17,108
2021-06-22,Japan,0,0,0,17,108
2021-06-23,Japan,0,0,0,17,108
2021-06-24,Japan,0,0,0,17,108
2021-06-25,Japan,0,0,0,17,108
2021-06-26,Japan,0,0,0,17,108
2021-06-27,Japan,0,0,0,17,108
2021-06-28,Japan,0,0,0,17,108
2021-06-29,Japan,0,0,0,17,108
2021-06-30,Japan,0,0,0,17,108
2021-07-01,Japan,0,0,0,17,108
2021-07-02,Japan,0,0,0,17,108
2021-07-03,Japan,0,0,0,17,108
2021-07-04,Japan,0,0,0,17,108
2021-07-05,Japan,0,0,0,17,108
2021-07-06,Japan,0,0,0,17,108
2021-07-07,Japan,0,0,0,17,108
2021-07-08,Japan,0,0,0,17,108
2021-07-09,Japan,0,0,0,17,108
2021-07-10,Japan,0,0,0,17,108
2021-07-11,Japan,0,0,0,17,108
2021-07-12,Japan,0,0,0,17,108
2021-07-13,Japan,0,0,0,17,108
2021-07-14,Japan,0,0,0,17,108
2021-07-15,Japan,0,0,0,17,108
2021-07-16,Japan,0,0,0,17,108
2021-07-17,Japan,0,0,0,17,108
2021-07-18,Japan,0,0,0,17,108
2021-07-19,Japan,0,0,0,17,108
2021-07-20,Japan,0,0,0,17,108
2021-07-21,Japan,0,0,0,17,108
2021-07-22,Japan,0,0,0,17,108
2021-07-23,Japan,0,0,0,17,108
2021-07-24,Japan,0,0,0,17,108
2021-07-25,Japan,0,0,0,17,108
2021-07-26,Japan,0,0,0,17,108
2021-07-27,Japan,0,0,0,17,108
2021-07-28,Japan,0,0,0,17,108
2021-07-29,Japan,0,0,0,17,108
2021-07-30,Japan,0,0,0,17,108
2021-07-31,Japan,0,0,0,17,108
2021-08-01,Japan,0,0,0,17,108
2021-08-02,Japan,0,0,0,17,108
2021-08-03,Japan,15,0,0,17,93
2021-08-04,Japan,28,5,0,17,75
2021-08-05,Japan,27,13,0,17,68
2021-08-06,Japan,21,22,0,17,65
2021-08-07,Japan,20,26,0,17,62
2021-08-08,Japan,15,29,3,17,61
2021-08-09,Japan,15,23,8,17,62
2021-08-10,Japan,11,21,11,17,65
2021-08-11,Japan,10,20,15,17,63
2021-08-12,Japan,7,16,17,17,68
2021-08-13,Japan,6,16,19,17,67
2021-08-14,Japan,4,11,22,17,71
2021-08-15,Japan,3,9,24,17,72
2021-08-16,Japan,3,5,24,17,76
2021-08-17,Japan,13,3,24,17,68
2021-08-18,Japan,18,5,25,17,60
2021-08-19,Japan,20,10,25,17,53
2021-08-20,Japan,15,18,25,17,50
2021-08-21,Japan,13,23,25,17,47
2021-08-22,Japan,15,21,25,18,46
2021-08-23,Japan,16,18,23,20,48
2021-08-24,Japan,14,13,25,20,53
2021-08-25,Japan,13,12,24,21,55
2021-08-26,Japan,11,12,23,21,58
2021-08-27,Japan,11,9,22,21,62
2021-08-28,Japan,8,9,19,24,65
2021-08-29,Japan,6,7,17,24,71
2021-08-30,Japan,5,6,18,24,72
2021-08-31,Japan,5,6,18,24,72
2021-09-01,Japan,7,3,19,24,72
2021-09-02,Japan,5,3,20,24,73
2021-09-03,Japan,4,3,21,24,73
2021-09-04,Japan,4,3,21,24,73
2021-09-05,Japan,4,3,18,25,75
2021-09-06,Japan,4,2,15,25,79
2021-09-07,Japan,2,3,10,26,84
2021-09-08,Japan,3,3,7,26,86
2021-09-09,Japan,3,3,6,26,87
2021-09-10,Japan,3,2,5,26,89
2021-09-11,Japan,2,1,6,26,90
2021-09-12,Japan,2,1,6,26,90
2021-09-13,Japan,2,1,5,26,91
2021-09-14,Japan,1,2,5,26,91
2021-09-15,Japan,1,1,4,26,93
2021-09-16,Japan,1,1,3,26,94
2021-09-17,Japan,1,1,2,26,95
2021-09-18,Japan,2,0,2,26,95
2021-09-19,Japan,2,0,2,26,95
2021-09-20,Japan,2,0,2,26,95
2021-09-21,Japan,2,0,2,26,95
2021-09-22,Japan,2,0,2,26,95
2021-09-23,Japan,2,0,2,26,95
2021-09-24,Japan,2,0,2,26,95
2021-09-25,Japan,2,0,1,26,96
2021-09-26,Japan,2,0,1,26,96
2021-09-27,Japan,1,1,1,26,96
2021-09-28,Japan,1,1,1,26,96
2021-09-29,Japan,1,1,0,26,97
2021-09-30,Japan,1,1,0,26,97
2021-10-01,Japan,1,0,0,26,98
2021-10-02,Japan,1,0,0,26,98
2021-10-03,Japan,1,0,0,26,98
2021-10-04,Japan,1,0,0,26,98
2021-10-05,Japan,0,1,0,26,98
2021-10-06,Japan,0,1,0,26,98
2021-10-07,Japan,0,1,0,26,98
2021-10-08,Japan,0,1,0,26,98
2021-10-09,Japan,0,0,0,26,99
2021-10-10,Japan,0,0,0,26,99
2021-10-11,Japan,0,0,0,26,99
2021-10-12,Japan,0,0,0,26,99
2021-10-13,Japan,0,0,0,26,99
2021-10-14,Japan,0,0,0,26,99
2021-10-15,Japan,0,0,0,26,99
2021-10-16,Japan,0,0,0,26,99
2021-10-17,Japan,0,0,0,26,99
2021-10-18,Japan,0,0,0,26,99
2021-10-19,Japan,0,0,0,26,99
2021-10-20,Japan,0,0,0,26,99
2021-10-21,Japan,0,0,0,26,99
2021-10-22,Japan,0,0,0,26,99
2021-10-23,Japan,0,0,0,26,99
2021-10-24,Japan,0,0,0,26,99
2021-10-25,Japan,0,0,0,26,99
2021-10-26,Japan,0,0,0,26,99
2021-10-27,Japan,0,0,0,26,99
2021-10-28,Japan,0,0,0,26,99
2021-10-29,Japan,0,0,0,26,99
2021-10-30,Japan,0,0,0,26,99
2021-10-31,Japan,0,0,0,26,99
2021-11-01,Japan,0,0,0,26,99
2021-11-02,Japan,0,0,0,26,99
2021-11-03,Japan,0,0,0,26,99
2021-11-04,Japan,0,0,0,26,99
2021-11-05,Japan,0,0,0,26,99
2021-11-06,Japan,0,0,0,26,99
2021-11-07,Japan,0,0,0,26,99
2021-11-08,Japan,0,0,0,26,99
2021-11-09,Japan,0,0,0,26,99
2021-11-10,Japan,0,0,0,26,99
2021-11-11,Japan,0,0,0,26,99
2021-11-12,Japan,0,0,0,26,99
2021-11-13,Japan,0,0,0,26,99
2021-11-14,Japan,0,0,0,26,99
2021-11-15,Japan,0,0,0,26,99
2021-11-16,Japan,0,0,0,26,99
2021-11-17,Japan,0,0,0,26,99
2021-11-18,Japan,0,0,0,26,99
2021-11-19,Japan,0,0,0,26,99
2021-11-20,Japan,0,0,0,26,99
2021-11-21,Japan,0,0,0,26,99
2021-11-22,Japan,0,0,0,26,99
2021-11-23,Japan,0,0,0,26,99
2021-11-24,Japan,0,0,0,26,99
2021-11-25,Japan,0,0,0,26,99
2021-11-26,Japan,0,0,0,26,99
2021-11-27,Japan,0,0,0,26,99
2021-11-28,Japan,0,0,0,26,99
2021-11-29,Japan,0,0,0,26,99
2021-11-30,Japan,0,0,0,26,99
2021-12-01,Japan,0,0,0,26,99
2021-12-02,Japan,0,0,0,26,99
2021-12-03,Japan,0,0,0,26,99
2021-12-04,Japan,0,0,0,26,99
2021-12-05,Japan,0,0,0,26,99
2021-12-06,Japan,2,0,0,26,97
2021-12-07,Japan,4,1,0,26,94
2021-12-08,Japan,8,3,0,26,88
